group,econ_ss_zscore,crime_vic
control,2.631352478,0
control,-2.818327369,0
control,-0.093487558,0
control,-0.093487558,1
control,-0.093487558,0
control,-0.093487558,1
control,-0.093487558,0
control,-0.093487558,1
control,-0.093487558,0
control,-0.093487558,1
control,-0.093487558,0
control,-0.093487558,0
control,-0.093487558,1
control,-0.093487558,1
control,-0.093487558,1
control,-0.093487558,0
control,3.046927609,0
control,-1.998172266,0
control,0.524377611,1
control,0.524377611,1
control,0.524377611,1
control,0.524377611,0
control,0.524377611,1
control,0.524377611,1
control,0.524377611,0
control,0.524377611,1
control,0.524377611,1
control,0.524377611,0
control,0.524377611,0
control,0.524377611,0
control,0.524377611,1
control,0.524377611,0
control,0.524377611,0
control,0.524377611,1
control,0.524377611,1
control,0.524377611,1
control,0.524377611,0
control,0.524377611,0
control,0.524377611,1
control,3.486740152,0
control,-2.888054261,0
control,0.299343005,1
control,0.299343005,0
control,0.299343005,0
control,0.299343005,1
control,0.299343005,0
control,0.299343005,1
control,0.299343005,0
control,0.299343005,0
control,0.299343005,0
control,0.299343005,0
control,0.299343005,0
control,0.299343005,1
control,0.299343005,1
control,0.299343005,0
control,0.299343005,1
control,0.299343005,0
control,0.299343005,0
control,0.299343005,0
control,0.299343005,0
control,0.299343005,0
control,3.147403927,0
control,-3.099570066,0
control,0.023916948,1
control,0.023916948,0
control,0.023916948,0
control,0.023916948,0
control,0.023916948,0
control,0.023916948,0
control,0.023916948,0
control,0.023916948,0
control,0.023916948,0
control,0.023916948,1
control,0.023916948,1
control,0.023916948,0
control,0.023916948,0
control,0.023916948,0
control,0.023916948,1
control,0.023916948,1
control,0.023916948,0
control,0.023916948,1
control,0.023916948,1
control,0.023916948,1
control,3.022485287,1
control,-2.62656219,0
control,0.197961519,1
control,0.197961519,1
control,0.197961519,0
control,0.197961519,1
control,0.197961519,0
control,0.197961519,0
control,0.197961519,0
control,0.197961519,1
control,0.197961519,1
control,0.197961519,0
control,0.197961519,0
control,0.197961519,0
control,0.197961519,0
control,0.197961519,1
control,0.197961519,1
control,0.197961519,1
control,3.003514482,0
control,-2.537530128,1
control,0.232992117,1
control,0.232992117,0
control,0.232992117,0
control,0.232992117,1
control,0.232992117,1
control,0.232992117,0
control,0.232992117,0
control,0.232992117,0
control,0.232992117,1
control,0.232992117,1
control,0.232992117,1
control,0.232992117,1
control,0.232992117,0
control,0.232992117,0
control,0.232992117,0
control,3.188565161,0
control,-2.632281352,0
control,0.278141875,0
control,0.278141875,0
control,0.278141875,1
control,0.278141875,0
control,0.278141875,0
control,0.278141875,1
control,0.278141875,0
control,0.278141875,0
control,0.278141875,0
control,0.278141875,1
control,0.278141875,0
control,0.278141875,0
control,0.278141875,0
control,0.278141875,1
control,0.278141875,1
control,0.278141875,0
control,0.278141875,1
control,0.278141875,0
control,0.278141875,0
control,0.278141875,1
control,0.278141875,1
control,0.278141875,0
control,0.278141875,1
control,3.387636427,1
control,-3.230107529,1
control,0.078764419,1
control,0.078764419,1
control,0.078764419,0
control,0.078764419,1
control,0.078764419,0
control,0.078764419,0
control,0.078764419,1
control,0.078764419,0
control,0.078764419,1
control,0.078764419,0
control,0.078764419,0
control,0.078764419,0
control,0.078764419,0
control,0.078764419,0
control,1.883412556,0
control,-2.184617744,1
control,-0.150602637,0
control,-0.150602637,1
control,-0.150602637,0
control,-0.150602637,1
control,-0.150602637,0
control,-0.150602637,1
control,-0.150602637,1
control,-0.150602637,0
control,-0.150602637,1
control,-0.150602637,0
control,-0.150602637,0
control,-0.150602637,1
control,-0.150602637,1
control,-0.150602637,0
control,-0.150602637,0
control,-0.150602637,1
control,-0.150602637,0
control,-0.150602637,0
control,2.639645142,0
control,-2.914577646,0
control,-0.137466166,0
control,-0.137466166,1
control,-0.137466166,0
control,-0.137466166,0
control,-0.137466166,1
control,-0.137466166,0
control,-0.137466166,1
control,-0.137466166,1
control,-0.137466166,0
control,-0.137466166,0
control,-0.137466166,0
control,-0.137466166,1
control,-0.137466166,1
control,-0.137466166,0
control,-0.137466166,0
control,-0.137466166,0
control,-0.137466166,0
control,2.592320337,0
control,-2.378480124,1
control,0.106920149,1
control,0.106920149,0
control,0.106920149,1
control,0.106920149,1
control,0.106920149,0
control,0.106920149,0
control,0.106920149,1
control,0.106920149,1
control,0.106920149,0
control,0.106920149,0
control,0.106920149,1
control,0.106920149,0
control,0.106920149,0
control,0.106920149,1
control,0.106920149,1
control,0.106920149,1
control,0.106920149,1
control,0.106920149,1
control,0.106920149,0
control,0.106920149,1
control,0.106920149,0
control,1.665456689,0
control,-2.037754803,1
control,-0.186149078,0
control,-0.186149078,0
control,-0.186149078,1
control,-0.186149078,0
control,-0.186149078,0
control,-0.186149078,0
control,-0.186149078,1
control,-0.186149078,1
control,-0.186149078,0
control,-0.186149078,0
control,-0.186149078,1
control,-0.186149078,1
